tweet_id,tweet,tweet_clean,created_at,month,label_true,label_encoded
1.33712e+18,i'll never get over how we produced a vaccine for a virus we knew nothing about in less than year but we still can't ensure everyone has access to clean drinking water or eradicate homelessness and poverty with forever known solutions.,i'll never get over how we produced a vaccine for a virus we knew nothing about in less than year but we still can't ensure everyone has access to clean drinking water or eradicate homelessness and poverty with forever known solutions.,2020-12-10 19:35:03+00:00,20-Dec,in-favor,1
1.45792e+18,"if newsom is in fact sick because of the booster, this is not funny. it means what we have been all warning about for months... these medications may cause serious illness and it's being covered up","if newsom is in fact sick because of the booster, this is not funny. it means what we have been all warning about for months... these medications may cause serious illness and it's being covered up",2021-11-09 04:04:42+00:00,21-Nov,against,0
1.36056e+18,601 of those were reported in america where 50million doses have been given meaning 0.001% of those vaccinated,601 of those were reported in america where 50million doses have been given meaning 0.001% of those vaccinated,2021-02-13 11:57:09+00:00,21-Feb,in-favor,1
1.36934e+18,"✨ new feature alert ✨ ..you can now use the live subway map to find vaccination site locations in nyc!..simply tap the 💉  icon to show vaccine site locations, contact info and more...check it out 👇","✨ new feature alert ✨ ..you can now use the live subway map to find vaccination site locations in nyc!..simply tap the 💉  icon to show vaccine site locations, contact info and more...check it out 👇",2021-03-09 17:46:03+00:00,21-Mar,in-favor,1
1.44777e+18,"new: texas gov. greg abbott announces that he has issued an executive order that bans vaccine mandates ""by any entity"" in the state.","new: texas gov. greg abbott announces that he has issued an executive order that bans vaccine mandates ""by any entity"" in the state.",2021-10-12 03:54:39+00:00,21-Oct,against,0
1.43797e+18,"heartbreaking—5 kids are now orphaned after both mom+dad (age 37/39) dies of #covid19 weeks apart. the baby was born by c-section while mom was on a ventilator, doesn’t even have a name yet.😢 grandparents haven’t told the kids parents died yet. #vaccinate","heartbreaking—5 kids are now orphaned after both mom+dad (age 37/39) dies of #covid19 weeks apart. the baby was born by c-section while mom was on a ventilator, doesn’t even have a name yet.😢 grandparents haven’t told the kids parents died yet. #vaccinate",2021-09-15 03:02:08+00:00,21-Sep,in-favor,1
1.41571e+18,"to maximize player vaccination rates, nfl and nflpa should extend a simple offer: get vaxxed, and don't get tested for marijuana.","to maximize player vaccination rates, nfl and nflpa should extend a simple offer: get vaxxed, and don't get tested for marijuana.",2021-07-15 16:27:57+00:00,21-Jul,in-favor,1
1.45088e+18,"i’m vaccinated. my kids are vaccinated. that was a personal medical decision between us and our doctors. i’m not anti-vax. but i sure as shit am anti-apartheid, and that is exactly what this government overreach looks like to me.","i’m vaccinated. my kids are vaccinated. that was a personal medical decision between us and our doctors. i’m not anti-vax. but i sure as shit am anti-apartheid, and that is exactly what this government overreach looks like to me.",2021-10-20 17:29:20+00:00,21-Oct,in-favor,1
1.48743e+18,that's millions of fake vax cards based on the price quoted. people will die as a result of this scheme. top charges need to be brought and harsh sentences imposed upon a conviction.,that's millions of fake vax cards based on the price quoted. people will die as a result of this scheme. top charges need to be brought and harsh sentences imposed upon a conviction.,2022-01-29 14:23:15+00:00,22-Jan,in-favor,1
1.42616e+18,info regarding #blfc2021 attendance..tl;dr..vaccine is required to attend.masks are required per state regulations..changes to how con events and amenities operate may change to comply with any future safety regulations...we hope to see you in neo-reno soon!,info regarding #blfc2021 attendance..tl;dr..vaccine is required to attend.masks are required per state regulations..changes to how con events and amenities operate may change to comply with any future safety regulations...we hope to see you in neo-reno soon!,2021-08-13 12:19:55+00:00,21-Aug,in-favor,1
1.41761e+18,"laughing at people  dying from covid?  she is a sociopath!!!  we all know is vaccinated and yet encouraging others not to be.  however, to laugh at them dying because her lie was called out?  she is mentally unfit!!!","laughing at people  dying from covid?  she is a sociopath!!!  we all know is vaccinated and yet encouraging others not to be.  however, to laugh at them dying because her lie was called out?  she is mentally unfit!!!",2021-07-20 22:01:49+00:00,21-Jul,neutral-or-unclear,2
1.53489e+18,listening to lbc radio. people calling up saying they’re getting ‘stroke like symptoms’. ..all vaccinated...all blaming long covid...couldn’t make it up.,listening to lbc radio. people calling up saying they’re getting ‘stroke like symptoms’. ..all vaccinated...all blaming long covid...couldn’t make it up.,2022-06-09 13:40:08+00:00,22-Jun,against,0
1.42703e+18,"2,317 new covid cases reported in pa., 64 percent vaccinated aug. 14 - wtaj -","2,317 new covid cases reported in pa., 64 percent vaccinated aug. 14 - wtaj -",2021-08-15 22:13:11+00:00,21-Aug,against,0
1.44898e+18,breaking report: hawks nba star brandon goodwin reports blood clots from covid vaccine ended his season – nba told him to keep it quiet..,breaking report: hawks nba star brandon goodwin reports blood clots from covid vaccine ended his season – nba told him to keep it quiet..,2021-10-15 11:53:08+00:00,21-Oct,against,0
1.44335e+18,"just in - biden could fine firms up to $700,000 if they fail to mandate vaccines according to a ""vaccine enforcement mechanism"" that is part of the $3.5 trillion ""build back better"" bill (daily mail)","just in - biden could fine firms up to $700,000 if they fail to mandate vaccines according to a ""vaccine enforcement mechanism"" that is part of the $3.5 trillion ""build back better"" bill (daily mail)",2021-09-29 22:43:18+00:00,21-Sep,in-favor,1
1.38413e+18,yeah...that's what we need.  a treatment to keep us from dying from the vaccine that was supposed to keep us from dying.,yeah...that's what we need.  a treatment to keep us from dying from the vaccine that was supposed to keep us from dying.,2021-04-19 12:59:00+00:00,21-Apr,against,0
1.448e+18,"the southwest airlines pilots assoc is asking a federal court in tx to enjoin enforcement of the airline's vaccine mandate, arguing it violates the law regarding collective bargaining rights.","the southwest airlines pilots assoc is asking a federal court in tx to enjoin enforcement of the airline's vaccine mandate, arguing it violates the law regarding collective bargaining rights.",2021-10-12 19:07:54+00:00,21-Oct,against,0
1.50131e+18,"covid is no joke, i got 3 vaccine shots and still my head hurts like hell and now i can’t sleep cause my throat hurts every time i swallow 😩😩😩","covid is no joke, i got 3 vaccine shots and still my head hurts like hell and now i can’t sleep cause my throat hurts every time i swallow 😩😩😩",2022-03-08 21:28:39+00:00,22-Mar,against,0
1.43717e+18,"i see that you are for mask and vaccinations mandates.  but, ypu remain silent on it. is it a trait to never talk about the right thing to do, when your party doesn't agree with you?..indict the capitol siege leaders. ..never believe or vote for the @gop","i see that you are for mask and vaccinations mandates.  but, ypu remain silent on it. is it a trait to never talk about the right thing to do, when your party doesn't agree with you?..indict the capitol siege leaders. ..never believe or vote for the @gop",2021-09-12 22:01:01+00:00,21-Sep,in-favor,1
1.38011e+18,"in michigan, 246 fully vaccinated people tested positive for covid-19, three died | just the news","in michigan, 246 fully vaccinated people tested positive for covid-19, three died | just the news",2021-04-08 10:27:50+00:00,21-Apr,against,0
1.38138e+18,“just got vaccinated this summer’s about to be lit!”,“just got vaccinated this summer’s about to be lit!”,2021-04-11 22:58:16+00:00,21-Apr,in-favor,1
1.4727e+18,"jürgen klopp: “if a player is not vaccinated at all, he's a constant threat for us. he has to change in a different dressing room, eat in a different dining room, sit in a different bus... really messy organisationally! if we travel to a country to play, he has to self-isolate.""","jürgen klopp: “if a player is not vaccinated at all, he's a constant threat for us. he has to change in a different dressing room, eat in a different dining room, sit in a different bus... really messy organisationally! if we travel to a country to play, he has to self-isolate.""",2021-12-19 22:31:49+00:00,21-Dec,in-favor,1
1.43615e+18,sean hannity is fully vaccinated - oh and his weakness is toes - but even marjorie taylor green’s toes turn his stomach - heads up hell will serve him up her toes for eternity,sean hannity is fully vaccinated - oh and his weakness is toes - but even marjorie taylor green’s toes turn his stomach - heads up hell will serve him up her toes for eternity,2021-09-10 01:58:05+00:00,21-Sep,neutral-or-unclear,2
1.44066e+18,watch the new #familyguy short! stewie and brian travel inside peter’s body to explain how vaccines work...have questions about the covid-19 vaccines? visit  for the most accurate and timely facts so we can all get back to the moments we love and miss most.,watch the new #familyguy short! stewie and brian travel inside peter’s body to explain how vaccines work...have questions about the covid-19 vaccines? visit  for the most accurate and timely facts so we can all get back to the moments we love and miss most.,2021-09-22 12:54:47+00:00,21-Sep,in-favor,1
1.47134e+18,"no shoes, no shirt, no mask, no vaccine...no service! an establishment has every right in the world to refuse you service. they can ask you to leave. nicely or forcibly. these morons seem to think they know the law better than anyone. they don't! .#lockthemallup","no shoes, no shirt, no mask, no vaccine...no service! an establishment has every right in the world to refuse you service. they can ask you to leave. nicely or forcibly. these morons seem to think they know the law better than anyone. they don't! .#lockthemallup",2021-12-16 04:51:30+00:00,21-Dec,in-favor,1
1.44012e+18,bts so much more respectful than me because when hobi was up dere addressing the vaccination i would’ve gotten so nasty like “ for all yall who said we was anti vaxx [jungkook adds a “yup” adlib] just in case you watching [taehyung “they watching” adlib] dont play with me dawg.”,bts so much more respectful than me because when hobi was up dere addressing the vaccination i would’ve gotten so nasty like “ for all yall who said we was anti vaxx [jungkook adds a “yup” adlib] just in case you watching [taehyung “they watching” adlib] dont play with me dawg.”,2021-09-21 00:48:01+00:00,21-Sep,in-favor,1
1.42199e+18,"‘i should have gotten the damn vaccine,' father of 5 texts before dying of covid.39 years old. dead. rip.  #vaccinatenow","‘i should have gotten the damn vaccine,' father of 5 texts before dying of covid.39 years old. dead. rip.  #vaccinatenow",2021-08-02 00:06:38+00:00,21-Aug,in-favor,1
